rule_id,rule_name,category,source_file,severity,status,records_evaluated,records_failed,failure_percentage,warning_threshold_pct,fail_threshold_pct,skipped_reason
cost_non_negative:medications.csv:PAYER_COVERAGE,PAYER_COVERAGE in medications.csv is not negative,numeric,medications.csv,high,pass,2107,0,0.0,0.0,1.0,
cost_non_negative:immunizations.csv:BASE_COST,BASE_COST in immunizations.csv is not negative,numeric,immunizations.csv,high,pass,845,0,0.0,0.0,1.0,
numeric:encounters.csv:PAYER_COVERAGE_le_TOTAL_CLAIM_COST,Encounter payer coverage does not exceed total claim cost,numeric,encounters.csv,high,pass,3180,0,0.0,1.0,5.0,
structural:required_foreign_keys_exist,Required foreign key columns exist,referential,multiple,critical,pass,22,0,0.0,0.0,1.0,
critical_not_null:patients.csv:BIRTHDATE,BIRTHDATE in patients.csv does not contain unexpected nulls,completeness,patients.csv,high,pass,58,0,0.0,0.0,1.0,
critical_not_null:encounters.csv:PATIENT,PATIENT in encounters.csv does not contain unexpected nulls,completeness,encounters.csv,high,pass,3180,0,0.0,0.0,1.0,
critical_not_null:encounters.csv:START,START in encounters.csv does not contain unexpected nulls,completeness,encounters.csv,high,pass,3180,0,0.0,0.0,1.0,
critical_not_null:encounters.csv:ENCOUNTERCLASS,ENCOUNTERCLASS in encounters.csv does not contain unexpected nulls,completeness,encounters.csv,high,pass,3180,0,0.0,0.0,1.0,
critical_not_null:organizations.csv:Id,Id in organizations.csv does not contain unexpected nulls,completeness,organizations.csv,high,pass,161,0,0.0,0.0,1.0,
critical_not_null:providers.csv:Id,Id in providers.csv does not contain unexpected nulls,completeness,providers.csv,high,pass,161,0,0.0,0.0,1.0,
critical_not_null:payers.csv:Id,Id in payers.csv does not contain unexpected nulls,completeness,payers.csv,high,pass,10,0,0.0,0.0,1.0,
domain:encounters.csv:ENCOUNTERCLASS,Encounter class is within the allowed set,domain,encounters.csv,medium,pass,3180,0,0.0,1.0,5.0,
uuid_format:patients.csv:Id,Id in patients.csv is a valid UUID,format,patients.csv,low,pass,58,0,0.0,1.0,5.0,
uuid_format:encounters.csv:Id,Id in encounters.csv is a valid UUID,format,encounters.csv,low,pass,3180,0,0.0,1.0,5.0,
uuid_format:encounters.csv:PATIENT,PATIENT in encounters.csv is a valid UUID,format,encounters.csv,low,pass,3180,0,0.0,1.0,5.0,
uuid_format:encounters.csv:ORGANIZATION,ORGANIZATION in encounters.csv is a valid UUID,format,encounters.csv,low,pass,3180,0,0.0,1.0,5.0,
uuid_format:encounters.csv:PROVIDER,PROVIDER in encounters.csv is a valid UUID,format,encounters.csv,low,pass,3180,0,0.0,1.0,5.0,
uuid_format:encounters.csv:PAYER,PAYER in encounters.csv is a valid UUID,format,encounters.csv,low,pass,3180,0,0.0,1.0,5.0,
uuid_format:organizations.csv:Id,Id in organizations.csv is a valid UUID,format,organizations.csv,low,pass,161,0,0.0,1.0,5.0,
uuid_format:providers.csv:Id,Id in providers.csv is a valid UUID,format,providers.csv,low,pass,161,0,0.0,1.0,5.0,
uuid_format:payers.csv:Id,Id in payers.csv is a valid UUID,format,payers.csv,low,pass,10,0,0.0,1.0,5.0,
uuid_format:conditions.csv:PATIENT,PATIENT in conditions.csv is a valid UUID,format,conditions.csv,low,pass,1725,0,0.0,1.0,5.0,
uuid_format:conditions.csv:ENCOUNTER,ENCOUNTER in conditions.csv is a valid UUID,format,conditions.csv,low,pass,1725,0,0.0,1.0,5.0,
uuid_format:procedures.csv:PATIENT,PATIENT in procedures.csv is a valid UUID,format,procedures.csv,low,pass,7601,0,0.0,1.0,5.0,
uuid_format:procedures.csv:ENCOUNTER,ENCOUNTER in procedures.csv is a valid UUID,format,procedures.csv,low,pass,7601,0,0.0,1.0,5.0,
uuid_format:medications.csv:PATIENT,PATIENT in medications.csv is a valid UUID,format,medications.csv,low,pass,2107,0,0.0,1.0,5.0,
uuid_format:medications.csv:ENCOUNTER,ENCOUNTER in medications.csv is a valid UUID,format,medications.csv,low,pass,2107,0,0.0,1.0,5.0,
uuid_format:observations.csv:PATIENT,PATIENT in observations.csv is a valid UUID,format,observations.csv,low,pass,29621,0,0.0,1.0,5.0,
uuid_format:observations.csv:ENCOUNTER,ENCOUNTER in observations.csv is a valid UUID,format,observations.csv,low,pass,28103,0,0.0,1.0,5.0,
uuid_format:careplans.csv:Id,Id in careplans.csv is a valid UUID,format,careplans.csv,low,pass,195,0,0.0,1.0,5.0,
uuid_format:careplans.csv:PATIENT,PATIENT in careplans.csv is a valid UUID,format,careplans.csv,low,pass,195,0,0.0,1.0,5.0,
uuid_format:careplans.csv:ENCOUNTER,ENCOUNTER in careplans.csv is a valid UUID,format,careplans.csv,low,pass,195,0,0.0,1.0,5.0,
uuid_format:devices.csv:PATIENT,PATIENT in devices.csv is a valid UUID,format,devices.csv,low,pass,280,0,0.0,1.0,5.0,
uuid_format:devices.csv:ENCOUNTER,ENCOUNTER in devices.csv is a valid UUID,format,devices.csv,low,pass,280,0,0.0,1.0,5.0,
uuid_format:immunizations.csv:PATIENT,PATIENT in immunizations.csv is a valid UUID,format,immunizations.csv,low,pass,845,0,0.0,1.0,5.0,
uuid_format:immunizations.csv:ENCOUNTER,ENCOUNTER in immunizations.csv is a valid UUID,format,immunizations.csv,low,pass,845,0,0.0,1.0,5.0,
uuid_format:imaging_studies.csv:Id,Id in imaging_studies.csv is a valid UUID,format,imaging_studies.csv,low,pass,258,0,0.0,1.0,5.0,
uuid_format:imaging_studies.csv:PATIENT,PATIENT in imaging_studies.csv is a valid UUID,format,imaging_studies.csv,low,pass,258,0,0.0,1.0,5.0,
uuid_format:imaging_studies.csv:ENCOUNTER,ENCOUNTER in imaging_studies.csv is a valid UUID,format,imaging_studies.csv,low,pass,258,0,0.0,1.0,5.0,
uuid_format:claims.csv:Id,Id in claims.csv is a valid UUID,format,claims.csv,low,pass,5287,0,0.0,1.0,5.0,
uuid_format:claims.csv:PATIENTID,PATIENTID in claims.csv is a valid UUID,format,claims.csv,low,pass,5287,0,0.0,1.0,5.0,
uuid_format:claims.csv:APPOINTMENTID,APPOINTMENTID in claims.csv is a valid UUID,format,claims.csv,low,pass,5287,0,0.0,1.0,5.0,
zip_text_format:patients.csv:ZIP,ZIP in patients.csv is treated as identifier text,format,patients.csv,low,pass,58,0,0.0,1.0,5.0,
zip_text_format:organizations.csv:ZIP,ZIP in organizations.csv is treated as identifier text,format,organizations.csv,low,pass,161,0,0.0,1.0,5.0,
zip_text_format:providers.csv:ZIP,ZIP in providers.csv is treated as identifier text,format,providers.csv,low,pass,161,0,0.0,1.0,5.0,
plausibility:patients.csv:age,Patient age is plausible,plausibility,patients.csv,medium,pass,58,0,0.0,1.0,5.0,
