year_month,total_patients_served,total_encounters,inpatient_encounters,emergency_encounters,average_length_of_stay_minutes,total_claim_cost,total_payer_coverage,total_patient_responsibility,readmission_count_30_day,readmission_rate_30_day
1984-07,1,1,0,1,123.85,17189.78,13751.82,3437.96,0,0E-20
1984-08,1,1,0,1,129.56666666666666,10317.26,8253.80,2063.46,0,0E-20
1984-11,1,1,0,0,54.45,704.20,554.20,150.00,0,
1985-04,1,1,0,0,37693.416666666664,11353.93,8896.74,2457.19,0,
1985-05,1,1,0,0,15.0,211.38,169.10,42.28,0,
1985-10,1,1,0,0,51.55,1058.12,908.12,150.00,0,
1985-11,1,1,0,0,46.63333333333333,704.20,554.20,150.00,0,
1986-04,1,1,0,0,21.75,994.48,0.00,994.48,0,
1986-11,1,1,0,0,36.13333333333333,1641.58,0.00,1641.58,0,
1986-12,1,3,1,0,581.0611111111111,44828.61,28918.90,15909.71,0,0E-20
1987-04,2,2,0,0,15.0,171.10,68.44,102.66,0,
1987-05,2,2,0,0,37.19166666666666,1033.90,413.56,620.34,0,
1987-08,1,1,0,0,54.43333333333333,1159.14,0.00,1159.14,0,
1987-12,2,3,0,0,27.51111111111111,1887.26,1249.76,637.50,0,
1988-04,1,1,0,0,49.81666666666667,1501.07,242.36,1258.71,0,
1988-11,1,1,0,0,64.56666666666666,948.35,55.39,892.96,0,
1988-12,3,3,1,0,509.23333333333335,2948.81,2004.09,944.72,0,0E-20
1989-04,2,2,0,0,15.0,1033.90,827.12,206.78,0,
1989-05,1,1,1,0,3780.5,5423.98,4060.99,1362.99,0,0E-20
1989-07,1,1,0,0,23.6,858.48,0.00,858.48,0,
1989-09,1,1,0,0,21.583333333333332,1202.63,0.00,1202.63,0,
1989-12,1,1,0,0,44.3,785.58,750.58,35.00,0,
1990-03,2,2,0,2,60.0,8204.07,96.18,8107.89,0,0E-20
1990-04,2,2,0,1,56.61666666666667,6148.34,5945.30,203.04,0,0E-20
1990-06,1,1,0,1,60.0,87.71,0.00,87.71,0,0E-20
1990-07,2,2,1,1,8670.0,233.89,163.89,70.00,0,0E-20
1990-08,1,1,0,1,60.0,146.18,111.18,35.00,0,0E-20
1990-12,2,2,0,0,34.15,2816.97,1311.39,1505.58,0,
1991-01,4,5,1,0,330.95000000000005,4044.44,0.00,4044.44,0,0E-20
1991-02,1,1,0,0,72.15,516.95,481.95,35.00,0,
1991-03,1,1,0,1,60.0,87.71,37.71,50.00,0,0E-20
1991-08,1,1,0,0,36.016666666666666,919.90,0.00,919.90,0,
1991-10,1,1,0,1,420.0,146.18,111.18,35.00,0,0E-20
1991-12,2,2,0,1,48.88333333333333,6599.70,5095.45,1504.25,0,0E-20
1992-01,1,1,0,0,30.966666666666665,919.90,0.00,919.90,0,
1992-07,1,1,0,0,45.11666666666667,948.35,323.69,624.66,0,
1992-08,1,1,1,0,1440.0,966.87,773.50,193.37,0,0E-20
1992-10,1,1,0,0,24.866666666666667,704.20,0.00,704.20,0,
1992-11,1,1,0,1,480.0,146.18,0.00,146.18,0,0E-20
1992-12,1,1,0,0,45.766666666666666,1210.18,1175.18,35.00,0,
1993-01,2,2,0,0,35.275,2576.32,1874.64,701.68,0,
1993-05,2,2,0,0,59.41666666666667,2083.95,1908.11,175.84,0,
1993-07,1,1,0,0,35.666666666666664,740.69,705.69,35.00,0,
1993-10,3,3,0,0,39.961111111111116,3652.43,0.00,3652.43,0,
1994-01,1,1,0,0,34.36666666666667,860.16,825.16,35.00,0,
1994-05,1,1,0,0,40.016666666666666,704.20,0.00,704.20,0,
1994-09,1,1,0,0,33.25,808.91,0.00,808.91,0,
1994-12,1,1,0,0,54.53333333333333,1603.49,1568.49,35.00,0,
1995-01,4,7,1,0,279.4761904761905,8189.63,3725.32,4464.31,0,0E-20
1995-07,1,1,0,0,56.11666666666667,1509.58,0.00,1509.58,0,
1995-08,1,1,0,0,54.38333333333333,840.20,790.20,50.00,0,
1995-11,2,2,0,0,62.24166666666667,16352.84,16282.84,70.00,0,
1995-12,2,2,0,0,54.20833333333333,1295.73,481.95,813.78,0,
1996-01,3,5,0,0,90.42666666666665,7479.46,5514.77,1964.69,0,
1996-02,4,5,0,0,43.14666666666666,3681.69,1680.28,2001.41,0,
1996-03,2,2,0,0,53.05833333333333,1939.93,1433.92,506.01,0,
1996-04,1,1,0,0,54.75,988.63,953.63,35.00,0,
1996-06,1,1,0,0,59.35,797.72,762.72,35.00,0,
1996-08,2,2,0,1,345.40833333333336,1555.47,1485.47,70.00,0,0E-20
1996-09,1,9,0,0,168.88888888888889,8868.70,8553.70,315.00,0,
1996-10,2,12,0,0,149.50416666666666,10522.13,10102.13,420.00,0,
1996-11,2,9,0,0,146.35,6892.70,6577.70,315.00,0,
1996-12,3,14,0,0,133.59047619047618,10777.63,9595.10,1182.53,0,
1997-01,2,7,0,0,101.40238095238097,7752.48,7507.48,245.00,0,
1997-02,4,12,0,0,138.09166666666667,9684.11,6830.01,2854.10,0,
1997-03,1,7,0,0,140.68333333333334,5710.80,5465.80,245.00,0,
1997-04,2,9,0,0,139.68148148148146,10584.53,10269.53,315.00,0,
1997-05,1,8,0,0,152.825,7497.48,7217.48,280.00,0,
1997-06,1,11,0,0,146.63636363636363,7242.72,6857.72,385.00,0,
1997-07,1,10,0,0,169.5,9738.38,9388.38,350.00,0,
1997-08,2,23,0,0,85.0,18425.50,16650.12,1775.38,0,
1997-09,1,13,0,0,154.2576923076923,11826.82,11371.82,455.00,0,
1997-10,5,10,0,0,88.13333333333334,9723.42,7132.64,2590.78,0,
1997-11,2,8,0,0,128.61458333333334,5062.39,4782.39,280.00,0,
1997-12,1,12,0,0,163.3638888888889,11412.46,10992.46,420.00,0,
1998-01,4,14,0,0,127.7595238095238,11773.89,10769.28,1004.61,0,
1998-02,3,8,0,0,117.67916666666666,11285.04,9976.10,1308.94,0,
1998-03,1,10,0,0,174.7,7857.45,7507.45,350.00,0,
1998-04,2,12,0,0,145.00694444444443,12196.21,10932.11,1264.10,0,
1998-05,1,9,0,0,162.11111111111111,7307.37,6992.37,315.00,0,
1998-06,1,6,0,0,173.27777777777774,9172.65,8962.65,210.00,0,
1998-07,1,11,0,0,183.36363636363637,9542.23,9157.23,385.00,0,
1998-08,1,9,0,0,170.88888888888889,8093.10,7778.10,315.00,0,
1998-09,2,9,1,0,423.3462962962963,7463.39,7148.39,315.00,0,0E-20
1998-10,2,8,0,1,136.32708333333335,5626.57,3904.29,1722.28,0,0E-20
1998-11,1,5,0,0,136.59666666666666,5008.96,4833.96,175.00,0,
1998-12,1,9,0,0,141.65555555555557,8821.90,8506.90,315.00,0,
1999-01,2,14,0,0,161.82023809523807,10339.79,9588.23,751.56,0,
1999-02,4,11,0,0,82.87575757575758,21418.78,20193.62,1225.16,0,
1999-03,1,11,0,0,161.9090909090909,7922.03,7537.03,385.00,0,
1999-04,2,7,1,0,1154.3190476190478,4011.96,3766.96,245.00,0,0E-20
1999-05,1,10,0,0,159.0,8592.02,8242.02,350.00,0,
1999-06,2,10,0,0,131.57333333333332,9256.53,8891.53,365.00,0,
1999-07,3,8,0,0,123.35,6452.69,5008.63,1444.06,0,
1999-08,2,8,0,0,117.47083333333333,6093.11,5693.11,400.00,0,
1999-09,1,8,0,0,129.57708333333335,6070.20,5670.20,400.00,0,
1999-10,1,7,0,0,144.6357142857143,8299.13,7949.13,350.00,0,
1999-11,2,7,0,0,151.29999999999998,5364.53,4687.02,677.51,0,
1999-12,1,9,1,0,687.3796296296297,12138.52,11688.52,450.00,0,
2000-01,1,4,0,0,83.71249999999999,3228.82,3028.82,200.00,0,0E-20
2000-02,3,6,0,0,52.741666666666674,5698.03,4617.87,1080.16,0,
2000-03,4,4,0,1,156.88333333333333,4248.86,1404.36,2844.50,0,0E-20
2000-06,1,1,0,0,83.51666666666667,516.95,481.95,35.00,0,
2000-07,4,6,0,0,7237.747222222221,44757.49,43633.29,1124.20,0,
2000-08,1,1,0,0,32.28333333333333,1291.56,867.50,424.06,0,
2000-09,2,2,1,0,759.8166666666667,14054.76,14004.76,50.00,0,0E-20
2000-10,3,3,0,0,39.15555555555556,2192.84,1288.64,904.20,0,
2000-11,2,2,0,0,15.0,609.88,42.93,566.95,0,
2000-12,1,1,0,0,15.0,92.93,42.93,50.00,0,
2001-02,3,5,0,0,105.42999999999999,10643.25,6320.22,4323.03,0,
2001-03,3,8,0,0,121.0375,22741.62,5935.35,16806.27,0,
2001-04,1,1,0,0,85.58333333333333,516.95,466.95,50.00,0,
2001-05,4,4,0,0,28.1375,1693.43,1457.88,235.55,0,
2001-06,1,2,0,0,58.05,1896.70,1796.70,100.00,0,
2001-09,1,1,0,0,38.95,1216.98,787.18,429.80,0,
2001-11,1,2,0,0,27.741666666666667,20211.41,20141.41,70.00,0,
2001-12,2,3,1,0,1168.05,44168.35,41464.89,2703.46,0,0E-20
2002-01,3,3,0,0,40.77222222222222,6841.03,0.00,6841.03,0,
2002-02,4,5,0,0,103.53333333333333,29293.50,2118.67,27174.83,0,
2002-03,3,7,0,0,126.47380952380952,26690.46,22434.95,4255.51,0,
2002-04,1,20,0,0,15.0,12855.93,12155.93,700.00,0,
2002-06,1,1,0,1,1020.0,146.18,111.18,35.00,0,0E-20
2002-08,1,1,0,0,56.7,1125.36,975.36,150.00,0,
2002-11,1,1,0,0,46.38333333333333,943.23,893.23,50.00,0,
2002-12,1,1,0,0,49.03333333333333,934.74,899.74,35.00,0,
2003-01,1,1,0,0,44.0,2730.98,0.00,2730.98,0,
2003-02,1,2,0,0,29.558333333333334,1310.57,1240.57,70.00,0,
2003-03,2,4,0,0,137.65,7567.40,3427.31,4140.09,0,
2003-04,2,2,1,0,2167.5,1151.56,915.48,236.08,0,0E-20
2003-05,1,1,0,0,15.0,85.55,0.00,85.55,0,
2003-08,1,1,0,0,92.48333333333333,3611.33,0.00,3611.33,0,
2003-11,1,1,0,0,32.36666666666667,1326.65,0.00,1326.65,0,
2003-12,2,2,0,0,29.5,3736.36,0.00,3736.36,0,
2004-01,2,3,1,1,812.4611111111111,19937.32,18763.40,1173.92,0,0E-20
2004-03,3,7,0,0,87.43809523809523,11089.19,9179.52,1909.67,0,
2004-04,2,2,0,0,120.77499999999999,3622.30,481.95,3140.35,0,
2004-07,2,2,0,0,32.425,852.56,0.00,852.56,0,
2004-11,1,1,0,0,54.55,704.20,0.00,704.20,0,
2004-12,2,2,0,0,50.21666666666667,3435.18,0.00,3435.18,0,
2005-01,5,8,0,2,43.235416666666666,5162.48,2804.76,2357.72,0,0E-20
2005-02,1,1,0,0,56.13333333333333,840.20,0.00,840.20,0,
2005-03,3,6,0,0,66.55277777777778,7649.13,6583.97,1065.16,0,
2005-04,2,2,0,0,140.325,3622.30,466.95,3155.35,0,
2005-05,1,1,0,0,80.15,516.95,466.95,50.00,0,
2005-07,2,3,0,0,49.37777777777777,4712.44,466.95,4245.49,0,
2005-08,1,1,0,0,54.733333333333334,1438.05,0.00,1438.05,0,
2005-09,1,1,0,0,343.0,3825.20,3060.15,765.05,0,
2005-10,1,2,0,1,37.5,357.56,287.56,70.00,0,0E-20
2005-11,1,1,0,0,44.0,2730.98,0.00,2730.98,0,
2006-01,3,4,0,0,43.45,2591.46,1952.18,639.28,0,
2006-02,3,3,0,0,113.72777777777777,7231.71,2638.95,4592.76,0,
2006-03,2,3,0,0,72.62222222222222,5501.20,979.57,4521.63,0,
2006-04,3,6,0,0,88.2388888888889,9547.90,6756.61,2791.29,0,
2006-06,1,1,0,0,34788.63333333333,11353.93,11318.93,35.00,0,
2006-07,2,2,1,0,2886.15,9714.88,7814.18,1900.70,0,0E-20
2006-08,1,1,0,0,50.083333333333336,985.22,0.00,985.22,0,
2006-10,1,1,0,0,44.0,2730.98,1911.69,819.29,0,
2006-11,2,2,0,0,36.11666666666667,2209.78,1291.18,918.60,0,
2007-01,2,2,0,0,40.458333333333336,9992.96,6593.28,3399.68,0,
2007-02,3,3,0,0,36.90555555555556,34096.83,21246.57,12850.26,0,
2007-03,2,2,0,0,31.091666666666665,12954.88,12660.22,294.66,0,
2007-04,3,3,0,1,36.077777777777776,18042.57,16990.05,1052.52,0,0E-20
2007-05,2,2,0,1,37.5,8197.55,8147.55,50.00,0,0E-20
2007-06,1,1,0,0,15.0,5708.43,5708.43,0.00,0,
2007-07,2,2,0,0,22.975,24352.12,24302.12,50.00,0,
2007-08,2,2,0,0,25.791666666666668,7462.53,6609.17,853.36,0,
2007-09,3,4,0,1,41.15,30365.98,15306.79,15059.19,0,0E-20
2007-11,1,1,0,0,15.0,1005.38,1005.38,0.00,0,
2008-01,2,2,0,1,52.88333333333333,17059.78,16125.04,934.74,0,0E-20
2008-02,1,1,0,0,36.11666666666667,919.90,0.00,919.90,0,
2008-04,1,2,0,0,125.34166666666667,4749.85,268.48,4481.37,0,
2008-07,2,2,0,0,17.21666666666667,1336.40,85.55,1250.85,0,
2008-08,1,1,0,0,44.0,2730.98,1911.69,819.29,0,
2008-09,2,3,0,0,40.75,38257.83,24468.51,13789.32,0,
2008-10,2,2,0,1,3397.5,9421.06,9113.54,307.52,0,0E-20
2008-11,1,1,0,0,15.0,19530.28,19530.28,0.00,0,
2008-12,2,2,0,1,37.5,17175.96,17125.96,50.00,0,0E-20
2009-01,2,2,0,0,37.38333333333333,14225.25,14225.25,0.00,0,
2009-02,2,2,0,0,27.475,15689.45,14615.29,1074.16,0,
2009-03,3,4,0,0,70.70833333333333,26928.76,23460.61,3468.15,0,
2009-04,3,3,0,1,51.72222222222222,3400.66,1154.71,2245.95,0,0E-20
2009-05,3,4,0,0,93.37916666666666,6196.61,2905.39,3291.22,0,
2009-06,3,3,0,0,28.927777777777777,5769.76,4723.65,1046.11,0,
2009-07,1,1,0,0,15.0,85.55,85.55,0.00,0,
2009-08,1,2,0,0,123.06666666666666,4056.62,3245.28,811.34,0,
2009-09,1,1,0,0,15.0,1250.85,0.00,1250.85,0,
2009-10,1,1,0,0,15.0,516.95,466.95,50.00,0,
2009-11,3,5,0,0,114.16,9778.60,3455.29,6323.31,0,
2009-12,2,2,0,0,4335.841666666666,8048.47,6127.30,1921.17,0,
2010-02,1,1,0,0,46.86666666666667,914.78,731.82,182.96,0,
2010-03,1,1,0,0,15.0,1250.85,875.60,375.25,0,
2010-04,1,2,0,0,50.69166666666666,3597.50,1815.54,1781.96,0,
2010-06,1,2,0,0,16.53333333333333,3482.82,2437.98,1044.84,0,
2010-08,1,1,0,0,36.78333333333333,778.78,0.00,778.78,0,
2010-09,1,1,0,0,15.0,1250.85,0.00,1250.85,0,
2010-10,3,5,0,0,29.506666666666668,7789.28,3384.46,4404.82,0,
2010-11,2,2,1,0,11817.658333333333,16927.97,11447.80,5480.17,0,0E-20
2010-12,3,5,0,0,17.956666666666667,33432.45,29474.18,3958.27,0,
2011-01,3,3,0,0,15.0,12131.25,11880.17,251.08,0,
2011-02,2,2,0,0,40.575,3806.84,1122.34,2684.50,0,
2011-03,3,6,0,0,65.52777777777779,12803.26,11494.94,1308.32,0,
2011-04,4,6,1,0,322.22499999999997,24955.44,22000.40,2955.04,0,0E-20
2011-05,1,2,0,0,15.0,5498.38,5498.38,0.00,0,
2011-06,1,2,0,0,17.183333333333334,22411.11,22411.11,0.00,0,
2011-07,2,2,0,0,27.216666666666665,957.85,766.26,191.59,0,
2011-08,4,4,0,0,50.229166666666664,4660.15,3689.68,970.47,0,
2011-09,2,2,0,0,24.316666666666666,3928.33,2956.25,972.08,0,
2011-10,1,1,1,0,1440.0,3817.64,0.00,3817.64,0,0E-20
2011-11,1,1,0,0,35.3,1128.56,902.83,225.73,0,
2011-12,2,2,0,0,118.76666666666667,4827.72,3862.17,965.55,0,
2012-01,1,2,0,0,12987.125,19332.93,15279.95,4052.98,0,
2012-02,1,1,0,0,43.016666666666666,951.27,761.00,190.27,0,
2012-03,4,14,1,1,336.127380952381,24776.63,19072.38,5704.25,0,0E-20
2012-04,3,24,0,0,16.78472222222222,5447.30,3467.68,1979.62,0,
2012-05,4,23,0,0,25.476086956521737,15399.64,12340.12,3059.52,0,
2012-06,2,6,0,1,31.54722222222222,6798.71,5438.88,1359.83,0,0E-20
2012-07,4,7,0,2,32.923809523809524,3526.34,2811.25,715.09,0,0E-20
2012-08,2,3,0,0,79.46111111111112,4773.98,3889.84,884.14,0,
2012-09,1,1,0,0,18.933333333333334,3797.25,2851.40,945.85,0,
2012-10,3,4,0,0,104.95833333333334,10965.15,6950.48,4014.67,0,
2012-11,4,5,0,0,95.11333333333333,5053.69,3242.30,1811.39,0,
2012-12,1,1,0,0,18.766666666666666,3167.75,2534.20,633.55,0,
2013-01,5,5,0,1,40.11666666666666,17469.57,15831.57,1638.00,0,0E-20
2013-02,2,4,0,1,84.375,5031.86,4197.51,834.35,0,0E-20
2013-03,3,4,0,0,79.49166666666667,9164.01,7186.62,1977.39,0,
2013-04,2,2,0,0,49.225,2353.82,1147.12,1206.70,0,
2013-05,3,4,1,1,749.1125000000001,10346.50,8277.10,2069.40,0,0E-20
2013-06,4,4,0,0,25.729166666666664,3406.74,2162.02,1244.72,0,
2013-08,2,3,0,1,41.050000000000004,2390.41,999.10,1391.31,0,0E-20
2013-09,4,6,0,0,54.638888888888886,21726.19,15374.70,6351.49,0,
2013-10,2,2,0,0,35.1,2312.87,1907.41,405.46,0,
2013-11,2,4,0,0,150.39166666666665,7733.17,6698.59,1034.58,0,
2013-12,2,2,0,0,15.0,2256.23,2006.06,250.17,0,
2014-01,2,2,0,0,29.5,2816.53,2187.89,628.64,0,
2014-02,9,10,0,0,16.509999999999998,1474.15,1006.60,467.55,0,
2014-03,5,7,0,0,27.576190476190476,8219.98,6974.66,1245.32,0,
2014-04,8,12,0,1,30.52638888888889,16298.26,12074.76,4223.50,0,0E-20
2014-05,4,7,0,0,65.92380952380952,7962.27,6301.34,1660.93,0,
2014-06,4,4,0,0,32.65833333333333,5044.31,3299.52,1744.79,0,
2014-07,1,1,0,0,15.0,92.93,0.00,92.93,0,
2014-08,2,6,0,0,65.32777777777777,10593.13,7443.69,3149.44,0,
2014-09,3,4,0,0,6879.75,13920.83,10950.24,2970.59,0,
2014-10,5,5,1,0,645.14,10572.85,7802.33,2770.52,0,
2014-11,2,2,0,0,23.908333333333335,16454.53,13163.62,3290.91,0,0E-20
2014-12,5,5,0,0,20.94,21220.40,20334.49,885.91,0,
2015-01,4,7,1,1,748.1952380952381,74381.14,62627.73,11753.41,0,0E-20
2015-02,4,4,0,0,8964.866666666667,19533.64,17212.85,2320.79,0,
2015-03,6,6,0,0,35.180555555555564,22386.55,20382.46,2004.09,0,
2015-04,4,4,0,0,39.44166666666666,3377.86,2701.42,676.44,0,
2015-05,3,5,0,0,63.65333333333333,8531.98,7100.25,1431.73,0,
2015-06,2,2,0,0,22.85,926.48,142.58,783.90,0,
2015-07,1,1,0,0,34.43333333333333,1182.12,1182.12,0.00,0,
2015-09,4,4,0,0,34.50416666666666,13920.24,12518.46,1401.78,0,
2015-10,4,5,0,1,39.22666666666667,11409.46,8129.17,3280.29,0,0E-20
2015-11,7,7,0,0,36.19047619047619,7780.84,5927.54,1853.30,0,
2016-01,3,3,1,0,634.3333333333334,9463.53,5399.55,4063.98,0,0E-20
2016-02,3,6,0,0,142.19166666666666,12633.15,9163.63,3469.52,0,
2016-03,5,5,0,0,34.973333333333336,2904.84,2368.26,536.58,0,
2016-04,2,4,0,1,44.458333333333336,2113.35,1862.68,250.67,0,0E-20
2016-05,5,8,0,0,38.16458333333334,7172.56,5992.53,1180.03,0,
2016-06,11,16,1,2,121.08229166666666,23698.20,18035.78,5662.42,0,0E-20
2016-07,5,5,0,0,64.32333333333334,5523.98,2484.28,3039.70,0,
2016-08,6,7,0,2,33.392857142857146,11222.70,6046.01,5176.69,0,0E-20
2016-09,6,8,0,0,61.52708333333332,38336.85,32817.96,5518.89,0,
2016-10,12,18,0,2,59.70740740740741,27485.67,20635.27,6850.40,0,0E-20
2016-11,11,26,0,1,118.66794871794872,65435.64,53288.32,12147.32,0,0E-20
2016-12,9,22,0,2,96.67121212121211,43201.81,38469.47,4732.34,0,0E-20
2017-01,12,31,1,1,190.63709677419354,142287.05,113672.24,28614.81,0,0E-20
2017-02,11,22,0,3,88.96666666666667,43615.89,35617.77,7998.12,0,0E-20
2017-03,9,24,0,1,124.42430555555556,46904.33,33991.10,12913.23,0,0E-20
2017-04,12,28,0,3,99.84404761904761,59203.17,44071.75,15131.42,0,0E-20
2017-05,9,24,1,1,246.4965277777778,85068.63,69889.73,15178.90,0,0E-20
2017-06,9,16,0,2,77.06041666666667,19902.61,15702.74,4199.87,0,0E-20
2017-07,13,25,0,2,1084.172,73692.82,58627.92,15064.90,0,0E-20
2017-08,8,22,0,0,106.16363636363636,52193.15,44490.94,7702.21,0,
2017-09,9,21,0,2,107.86269841269842,31809.36,21987.33,9822.03,0,0E-20
2017-10,9,21,0,0,100.0095238095238,26556.60,19922.00,6634.60,0,
2017-11,14,26,0,1,114.54230769230769,36392.34,24078.23,12314.11,0,0E-20
2017-12,5,17,0,0,155.43823529411765,43891.43,40314.61,3576.82,0,
2018-01,13,24,0,1,98.13333333333333,72332.67,42997.14,29335.53,0,0E-20
2018-02,10,20,0,2,102.99249999999999,57486.15,53469.68,4016.47,0,0E-20
2018-03,8,18,0,1,118.27407407407408,45957.64,33447.63,12510.01,0,0E-20
2018-04,12,23,0,1,85.8340579710145,46782.57,40540.40,6242.17,0,0E-20
2018-05,12,23,0,0,112.06449275362318,71936.66,54623.21,17313.45,0,
2018-06,12,19,0,2,75.25263157894737,63358.00,33161.14,30196.86,0,0E-20
2018-07,14,27,0,2,373.8067901234568,104032.42,69011.43,35020.99,0,0E-20
2018-08,8,21,0,1,124.57301587301588,56268.05,44736.24,11531.81,0,0E-20
2018-09,10,21,0,1,109.18650793650792,43049.92,36784.04,6265.88,0,0E-20
2018-10,11,27,0,1,90.05432098765432,53413.57,47327.15,6086.42,0,0E-20
2018-11,13,27,0,3,727.5351851851852,64169.30,56266.94,7902.36,0,0E-20
2018-12,11,24,0,2,100.35416666666669,37689.81,33960.94,3728.87,0,0E-20
2019-01,12,25,0,1,102.30066666666666,54830.05,49373.16,5456.89,0,0E-20
2019-02,9,21,0,2,106.75079365079367,57372.35,52362.42,5009.93,0,0E-20
2019-03,8,20,0,1,122.775,17532.20,8950.62,8581.58,0,0E-20
2019-04,10,22,0,0,100.57954545454545,19273.87,15350.59,3923.28,0,
2019-05,9,20,0,1,112.28666666666668,23689.73,18194.80,5494.93,0,0E-20
2019-06,9,11,0,3,3572.7530303030303,20761.29,14338.37,6422.92,0,0E-20
2019-07,6,11,0,0,67.75454545454546,57994.17,48085.82,9908.35,0,
2019-08,12,16,0,2,41.72291666666667,42329.07,32556.98,9772.09,0,0E-20
2019-09,8,15,0,1,56.190000000000005,51168.12,36809.11,14359.01,0,0E-20
2019-10,11,12,0,3,51.855555555555554,24306.23,20799.83,3506.40,0,0E-20
2019-11,10,10,0,1,56.26166666666667,14854.23,10762.11,4092.12,0,0E-20
2019-12,13,17,0,4,4135.566666666667,61879.08,50473.38,11405.70,1,0.25000000000000000000
2020-01,9,15,0,0,58.93555555555555,36661.95,32937.25,3724.70,0,
2020-02,12,18,0,1,46.08148148148148,51567.00,39848.33,11718.67,0,0E-20
2020-03,9,11,1,2,1627.9106060606061,53979.39,45589.04,8390.35,0,0E-20
2020-04,14,20,0,1,57.3575,23656.88,16370.86,7286.02,0,0E-20
