payer_key,payer_name,organization_key,organization_name,year_month,encounter_count,total_claim_cost,total_payer_coverage,total_patient_responsibility,average_claim_cost,coverage_ratio
278663187212707114,NO_INSURANCE,814284400183858824,PRIMARY CARE NORTH PC,1969-03,1,778.78,0.00,778.78,778.7800000000000000,0E-20
38194544675647776,Medicaid,164982158369714689,A&A HEALTHCARE LLC,1969-08,1,860.16,710.16,150.00,860.1600000000000000,0.82561383928571428571
645688281511686373,UnitedHealthcare,476697113556229311,BETH ISRAEL DEACONESS HOSPITAL MILTON INC,1971-08,2,171.10,136.88,34.22,85.5500000000000000,0.80000000000000000000
38194544675647776,Medicaid,496794533100234578,WELLNESS ON WHEELS PC,1971-09,1,778.78,664.33,114.45,778.7800000000000000,0.85303936926988366419
1038854080955376456,Cigna Health,428720615426329859,COUNTRY CENTER FOR HEALTH & REHABILITATION,1972-03,1,146.18,0.00,146.18,146.1800000000000000,0E-20
278663187212707114,NO_INSURANCE,814284400183858824,PRIMARY CARE NORTH PC,1972-03,1,1567.00,0.00,1567.00,1567.0000000000000000,0E-20
1038854080955376456,Cigna Health,395615810080261442,ANNA JAQUES HOSPITAL SUBACUTE UNIT,1972-05,1,1018.55,0.00,1018.55,1018.5500000000000000,0E-20
38194544675647776,Medicaid,909182873596142954,SOUTHCOAST HOSPITAL GROUP  INC,1972-05,1,85.55,0.00,85.55,85.5500000000000000,0E-20
38194544675647776,Medicaid,132019786462314408,DAVIS SQUARE FAMILY PRACTICE,1973-08,1,783.90,633.90,150.00,783.9000000000000000,0.80864906238040566399
645688281511686373,UnitedHealthcare,476697113556229311,BETH ISRAEL DEACONESS HOSPITAL MILTON INC,1973-10,1,516.95,0.00,516.95,516.9500000000000000,0E-20
278663187212707114,NO_INSURANCE,814284400183858824,PRIMARY CARE NORTH PC,1975-03,1,994.48,0.00,994.48,994.4800000000000000,0E-20
645688281511686373,UnitedHealthcare,476697113556229311,BETH ISRAEL DEACONESS HOSPITAL MILTON INC,1975-05,1,516.95,413.56,103.39,516.9500000000000000,0.80000000000000000000
278663187212707114,NO_INSURANCE,723111811226363721,CHESTNUT WOODS REHABILITATION AND HEALTHCARE CTR,1976-03,1,6079.78,0.00,6079.78,6079.7800000000000000,0E-20
278663187212707114,NO_INSURANCE,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1976-06,2,840.39,0.00,840.39,420.1950000000000000,0E-20
38194544675647776,Medicaid,496794533100234578,WELLNESS ON WHEELS PC,1976-09,1,1161.22,1098.02,63.20,1161.2200000000000000,0.94557448201029951258
278663187212707114,NO_INSURANCE,790885867393293671,DUTTON FAMILY CARE ASSOCIATES LLP,1976-11,1,704.20,0.00,704.20,704.2000000000000000,0E-20
952317639554652821,Medicare,814284400183858824,PRIMARY CARE NORTH PC,1978-03,1,994.48,615.67,378.81,994.4800000000000000,0.61908736223956238436
952317639554652821,Medicare,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1978-04,2,3190.90,2552.72,638.18,1595.4500000000000000,0.80000000000000000000
38194544675647776,Medicaid,132019786462314408,DAVIS SQUARE FAMILY PRACTICE,1978-09,1,1567.00,1417.00,150.00,1567.0000000000000000,0.90427568602425015954
38194544675647776,Medicaid,164982158369714689,A&A HEALTHCARE LLC,1978-10,1,1865.32,1715.32,150.00,1865.3200000000000000,0.91958484335127484828
38194544675647776,Medicaid,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1978-11,1,85.55,35.55,50.00,85.5500000000000000,0.41554646405610753945
38194544675647776,Medicaid,679818074188163933,ARBOUR-FULLER HOSPITAL,1979-04,1,1515.74,1465.74,50.00,1515.7400000000000000,0.96701281222373230237
952317639554652821,Medicare,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1979-12,2,1428.74,958.36,470.38,714.3700000000000000,0.67077284880384114674
211105773257762680,Aetna,623047219859228790,GARDEN STATE HEALTHCARE ASSOCIATES LLC,1980-03,1,977.85,0.00,977.85,977.8500000000000000,0E-20
952317639554652821,Medicare,723111811226363721,CHESTNUT WOODS REHABILITATION AND HEALTHCARE CTR,1980-05,1,7503.03,5816.02,1687.01,7503.0300000000000000,0.77515617024055614865
952317639554652821,Medicare,723111811226363721,CHESTNUT WOODS REHABILITATION AND HEALTHCARE CTR,1980-11,1,4407.08,3525.66,881.42,4407.0800000000000000,0.79999909236955081369
952317639554652821,Medicare,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1980-12,2,5952.05,4761.63,1190.42,2976.0250000000000000,0.79999831990658680623
952317639554652821,Medicare,814284400183858824,PRIMARY CARE NORTH PC,1981-03,1,853.36,496.28,357.08,853.3600000000000000,0.58155995125152338989
278663187212707114,NO_INSURANCE,537663206495302230,MELROSE FAMILY OPTICIANS LLC,1981-03,1,998.38,0.00,998.38,998.3800000000000000,0E-20
952317639554652821,Medicare,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1981-04,1,3105.35,2484.28,621.07,3105.3500000000000000,0.80000000000000000000
38194544675647776,Medicaid,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1982-07,1,948.35,898.35,50.00,948.3500000000000000,0.94727684926451204724
445788698227523135,Dual Eligible,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1982-08,1,1032.34,997.34,35.00,1032.3400000000000000,0.96609644109498808532
38194544675647776,Medicaid,679818074188163933,ARBOUR-FULLER HOSPITAL,1982-12,1,740.69,690.69,50.00,740.6900000000000000,0.93249537593325142772
38194544675647776,Medicaid,969560228442772145,FAMILY PRACTICE GROUP PC,1983-03,1,704.20,554.20,150.00,704.2000000000000000,0.78699233172394206191
467436209270504951,Humana,919548777387151765,SOUTH SHORE CENTER FOR WELLNESS LTD,1983-07,1,704.20,0.00,704.20,704.2000000000000000,0E-20
357555573157303140,Blue Cross Blue Shield,815218868737845247,Causeway OPC,1983-07,1,778.78,0.00,778.78,778.7800000000000000,0E-20
278663187212707114,NO_INSURANCE,694540912856437675,PULMONARY INTERNISTS AND CONSULTANTS PC,1983-07,1,704.20,0.00,704.20,704.2000000000000000,0E-20
38194544675647776,Medicaid,496794533100234578,WELLNESS ON WHEELS PC,1983-11,1,791.94,718.83,73.11,791.9400000000000000,0.90768240018183195697
38194544675647776,Medicaid,1053862909723414558,COMPASSIONATE HEALTH CARE GROUP LLC,1983-11,1,1567.00,1417.00,150.00,1567.0000000000000000,0.90427568602425015954
952317639554652821,Medicare,814284400183858824,PRIMARY CARE NORTH PC,1984-03,1,1135.60,908.48,227.12,1135.6000000000000000,0.80000000000000000000
278663187212707114,NO_INSURANCE,814284400183858824,PRIMARY CARE NORTH PC,1984-03,1,778.78,0.00,778.78,778.7800000000000000,0E-20
278663187212707114,NO_INSURANCE,50464693234281699,Lynn Community Based Outpatient Clinic (CBOC),1984-03,1,1786.60,0.00,1786.60,1786.6000000000000000,0E-20
952317639554652821,Medicare,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1984-03,3,6000.85,4656.00,1344.85,2000.2833333333333333,0.77589008223834956714
278663187212707114,NO_INSURANCE,537663206495302230,MELROSE FAMILY OPTICIANS LLC,1984-03,1,853.36,0.00,853.36,853.3600000000000000,0E-20
357555573157303140,Blue Cross Blue Shield,389966452681632557,BETH ISRAEL DEACONESS HOSPITAL-NEEDHAM  INC.,1984-03,1,802.11,0.00,802.11,802.1100000000000000,0E-20
952317639554652821,Medicare,723111811226363721,CHESTNUT WOODS REHABILITATION AND HEALTHCARE CTR,1984-07,1,17189.78,13751.82,3437.96,17189.7800000000000000,0.79999976730359550849
952317639554652821,Medicare,723111811226363721,CHESTNUT WOODS REHABILITATION AND HEALTHCARE CTR,1984-08,1,10317.26,8253.80,2063.46,10317.2600000000000000,0.79999922460032993256
38194544675647776,Medicaid,1053862909723414558,COMPASSIONATE HEALTH CARE GROUP LLC,1984-11,1,704.20,554.20,150.00,704.2000000000000000,0.78699233172394206191
952317639554652821,Medicare,44021524391093165,DIGNITY HOSPICE CARE INC,1985-04,1,11353.93,8896.74,2457.19,11353.9300000000000000,0.78358242476393636388
952317639554652821,Medicare,814284400183858824,PRIMARY CARE NORTH PC,1985-05,1,211.38,169.10,42.28,211.3800000000000000,0.79998107673384426152
38194544675647776,Medicaid,132019786462314408,DAVIS SQUARE FAMILY PRACTICE,1985-10,1,1058.12,908.12,150.00,1058.1200000000000000,0.85823914111820965486
38194544675647776,Medicaid,1053862909723414558,COMPASSIONATE HEALTH CARE GROUP LLC,1985-11,1,704.20,554.20,150.00,704.2000000000000000,0.78699233172394206191
645688281511686373,UnitedHealthcare,703727186913582450,ASSOCIATED INTERNISTS OF RANDOLPH  INC.,1986-04,1,994.48,0.00,994.48,994.4800000000000000,0E-20
278663187212707114,NO_INSURANCE,790885867393293671,DUTTON FAMILY CARE ASSOCIATES LLP,1986-11,1,1641.58,0.00,1641.58,1641.5800000000000000,0E-20
357555573157303140,Blue Cross Blue Shield,363458983347729064,Fitchburg Outpatient Clinic,1986-12,2,44049.83,28918.90,15130.93,22024.915000000000,0.65650423622520223120
357555573157303140,Blue Cross Blue Shield,441536440845856287,WELLESLEY FAMILY CARE ASSOCIATES  PC,1986-12,1,778.78,0.00,778.78,778.7800000000000000,0E-20
645688281511686373,UnitedHealthcare,137002283324145083,STURDY MEMORIAL HOSPITAL INC,1987-04,1,85.55,68.44,17.11,85.5500000000000000,0.80000000000000000000
278663187212707114,NO_INSURANCE,1037822919216517364,ANNA JAQUES HOSPITAL SUBACUTE UNIT,1987-04,1,85.55,0.00,85.55,85.5500000000000000,0E-20
278663187212707114,NO_INSURANCE,1037822919216517364,ANNA JAQUES HOSPITAL SUBACUTE UNIT,1987-05,1,516.95,0.00,516.95,516.9500000000000000,0E-20
645688281511686373,UnitedHealthcare,137002283324145083,STURDY MEMORIAL HOSPITAL INC,1987-05,1,516.95,413.56,103.39,516.9500000000000000,0.80000000000000000000
357555573157303140,Blue Cross Blue Shield,815218868737845247,Causeway OPC,1987-08,1,1159.14,0.00,1159.14,1159.1400000000000000,0E-20
467436209270504951,Humana,683258316057948949,STEWARD ST. ANNES HOSPITAL CORPORATION,1987-12,2,602.50,0.00,602.50,301.2500000000000000,0E-20
445788698227523135,Dual Eligible,164982158369714689,A&A HEALTHCARE LLC,1987-12,1,1284.76,1249.76,35.00,1284.7600000000000000,0.97275755783181294561
645688281511686373,UnitedHealthcare,703727186913582450,ASSOCIATED INTERNISTS OF RANDOLPH  INC.,1988-04,1,1501.07,242.36,1258.71,1501.0700000000000000,0.16145815984597653674
357555573157303140,Blue Cross Blue Shield,389966452681632557,BETH ISRAEL DEACONESS HOSPITAL-NEEDHAM  INC.,1988-11,1,948.35,55.39,892.96,948.3500000000000000,0.05840670638477355407
357555573157303140,Blue Cross Blue Shield,441536440845856287,WELLESLEY FAMILY CARE ASSOCIATES  PC,1988-12,1,704.20,0.00,704.20,704.2000000000000000,0E-20
952317639554652821,Medicare,389966452681632557,BETH ISRAEL DEACONESS HOSPITAL-NEEDHAM  INC.,1988-12,1,1027.63,822.11,205.52,1027.6300000000000000,0.80000583867734495879
445788698227523135,Dual Eligible,164982158369714689,A&A HEALTHCARE LLC,1988-12,1,1216.98,1181.98,35.00,1216.9800000000000000,0.97124028332429456524
645688281511686373,UnitedHealthcare,137002283324145083,STURDY MEMORIAL HOSPITAL INC,1989-04,1,516.95,413.56,103.39,516.9500000000000000,0.80000000000000000000
952317639554652821,Medicare,1037822919216517364,ANNA JAQUES HOSPITAL SUBACUTE UNIT,1989-04,1,516.95,413.56,103.39,516.9500000000000000,0.80000000000000000000
645688281511686373,UnitedHealthcare,476697113556229311,BETH ISRAEL DEACONESS HOSPITAL MILTON INC,1989-05,1,5423.98,4060.99,1362.99,5423.9800000000000000,0.74871035660160988794
278663187212707114,NO_INSURANCE,556944320275034302,PARADIGM HEALTHCARE  PC,1989-07,1,858.48,0.00,858.48,858.4800000000000000,0E-20
278663187212707114,NO_INSURANCE,658306035533165929,VMD PRIMARY PROVIDERS MASSACHUSETTS PLLC,1989-09,1,1202.63,0.00,1202.63,1202.6300000000000000,0E-20
445788698227523135,Dual Eligible,164982158369714689,A&A HEALTHCARE LLC,1989-12,1,785.58,750.58,35.00,785.5800000000000000,0.95544693093001349322
278663187212707114,NO_INSURANCE,583341618173404851,HOLYOKE VISITING NURSE ASSOC,1990-03,1,8057.89,0.00,8057.89,8057.8900000000000000,0E-20
38194544675647776,Medicaid,39538555446517326,VNA & HOSPICE OF GREATER MILFORD,1990-03,1,146.18,96.18,50.00,146.1800000000000000,0.65795594472568066767
645688281511686373,UnitedHealthcare,703727186913582450,ASSOCIATED INTERNISTS OF RANDOLPH  INC.,1990-04,1,840.20,672.16,168.04,840.2000000000000000,0.80000000000000000000
445788698227523135,Dual Eligible,965482326565273582,TIMOTHY DANIELS HOUSE,1990-04,1,5308.14,5273.14,35.00,5308.1400000000000000,0.99340635326121767700
278663187212707114,NO_INSURANCE,583341618173404851,HOLYOKE VISITING NURSE ASSOC,1990-06,1,87.71,0.00,87.71,87.7100000000000000,0E-20
445788698227523135,Dual Eligible,965482326565273582,TIMOTHY DANIELS HOUSE,1990-07,1,87.71,52.71,35.00,87.7100000000000000,0.60095770151636073424
445788698227523135,Dual Eligible,679818074188163933,ARBOUR-FULLER HOSPITAL,1990-07,1,146.18,111.18,35.00,146.1800000000000000,0.76056916130797646737
445788698227523135,Dual Eligible,965482326565273582,TIMOTHY DANIELS HOUSE,1990-08,1,146.18,111.18,35.00,146.1800000000000000,0.76056916130797646737
278663187212707114,NO_INSURANCE,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1990-12,1,948.35,0.00,948.35,948.3500000000000000,0E-20
952317639554652821,Medicare,1100386330438199965,WALTHAM WESTON INTERNAL MEDICINE ASSOCIATES  P.C.,1990-12,1,1868.62,1311.39,557.23,1868.6200000000000000,0.70179597778039408762
278663187212707114,NO_INSURANCE,622746900524004548,WHITTIER REHABILTATION HOSPITAL,1991-01,1,966.87,0.00,966.87,966.8700000000000000,0E-20
211105773257762680,Aetna,814284400183858824,PRIMARY CARE NORTH PC,1991-01,1,704.20,0.00,704.20,704.2000000000000000,0E-20
278663187212707114,NO_INSURANCE,410915144747947572,COOLEY DICKINSON HOSPITAL INC,1991-01,1,516.95,0.00,516.95,516.9500000000000000,0E-20
278663187212707114,NO_INSURANCE,50464693234281699,Lynn Community Based Outpatient Clinic (CBOC),1991-01,2,1856.42,0.00,1856.42,928.2100000000000000,0E-20
445788698227523135,Dual Eligible,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1991-02,1,516.95,481.95,35.00,516.9500000000000000,0.93229519295870006770
38194544675647776,Medicaid,39538555446517326,VNA & HOSPICE OF GREATER MILFORD,1991-03,1,87.71,37.71,50.00,87.7100000000000000,0.42993957359480104891
278663187212707114,NO_INSURANCE,556944320275034302,PARADIGM HEALTHCARE  PC,1991-08,1,919.90,0.00,919.90,919.9000000000000000,0E-20
445788698227523135,Dual Eligible,521143750033311203,SERENITY HILL NURSING CENTER,1991-10,1,146.18,111.18,35.00,146.1800000000000000,0.76056916130797646737
952317639554652821,Medicare,1100386330438199965,WALTHAM WESTON INTERNAL MEDICINE ASSOCIATES  P.C.,1991-12,1,1291.56,848.94,442.62,1291.5600000000000000,0.65729815107312087708
952317639554652821,Medicare,39538555446517326,VNA & HOSPICE OF GREATER MILFORD,1991-12,1,5308.14,4246.51,1061.63,5308.1400000000000000,0.79999962322018635530
211105773257762680,Aetna,814284400183858824,PRIMARY CARE NORTH PC,1992-01,1,919.90,0.00,919.90,919.9000000000000000,0E-20
357555573157303140,Blue Cross Blue Shield,815218868737845247,Causeway OPC,1992-07,1,948.35,323.69,624.66,948.3500000000000000,0.34131913323140190858
952317639554652821,Medicare,815218868737845247,Causeway OPC,1992-08,1,966.87,773.50,193.37,966.8700000000000000,0.80000413706082513678
278663187212707114,NO_INSURANCE,160559015988030201,HEALTHFIRST FAMILY CARE CENTER INC,1992-10,1,704.20,0.00,704.20,704.2000000000000000,0E-20
278663187212707114,NO_INSURANCE,583341618173404851,HOLYOKE VISITING NURSE ASSOC,1992-11,1,146.18,0.00,146.18,146.1800000000000000,0E-20
445788698227523135,Dual Eligible,164982158369714689,A&A HEALTHCARE LLC,1992-12,1,1210.18,1175.18,35.00,1210.1800000000000000,0.97107868251003982879
952317639554652821,Medicare,814284400183858824,PRIMARY CARE NORTH PC,1993-01,1,1069.06,668.84,400.22,1069.0600000000000000,0.62563373430864497783
952317639554652821,Medicare,1100386330438199965,WALTHAM WESTON INTERNAL MEDICINE ASSOCIATES  P.C.,1993-01,1,1507.26,1205.80,301.46,1507.2600000000000000,0.79999469235566524687
645688281511686373,UnitedHealthcare,703727186913582450,ASSOCIATED INTERNISTS OF RANDOLPH  INC.,1993-05,1,704.20,563.36,140.84,704.2000000000000000,0.80000000000000000000
445788698227523135,Dual Eligible,679818074188163933,ARBOUR-FULLER HOSPITAL,1993-05,1,1379.75,1344.75,35.00,1379.7500000000000000,0.97463308570393187172
445788698227523135,Dual Eligible,679818074188163933,ARBOUR-FULLER HOSPITAL,1993-07,1,740.69,705.69,35.00,740.6900000000000000,0.95274676315327599941
278663187212707114,NO_INSURANCE,658306035533165929,VMD PRIMARY PROVIDERS MASSACHUSETTS PLLC,1993-10,1,1071.59,0.00,1071.59,1071.5900000000000000,0E-20
278663187212707114,NO_INSURANCE,160559015988030201,HEALTHFIRST FAMILY CARE CENTER INC,1993-10,2,2580.84,0.00,2580.84,1290.4200000000000000,0E-20
445788698227523135,Dual Eligible,164982158369714689,A&A HEALTHCARE LLC,1994-01,1,860.16,825.16,35.00,860.1600000000000000,0.95930989583333333333
645688281511686373,UnitedHealthcare,703727186913582450,ASSOCIATED INTERNISTS OF RANDOLPH  INC.,1994-05,1,704.20,0.00,704.20,704.2000000000000000,0E-20
278663187212707114,NO_INSURANCE,687244083159868427,MELROSEWAKEFIELD HEALTHCARE  INC,1994-09,1,808.91,0.00,808.91,808.9100000000000000,0E-20
445788698227523135,Dual Eligible,679818074188163933,ARBOUR-FULLER HOSPITAL,1994-12,1,1603.49,1568.49,35.00,1603.4900000000000000,0.97817261099227310429
952317639554652821,Medicare,814284400183858824,PRIMARY CARE NORTH PC,1995-01,1,1755.57,1218.06,537.51,1755.5700000000000000,0.69382593687520292555
38194544675647776,Medicaid,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1995-01,1,234.71,184.71,50.00,234.7100000000000000,0.78697115589450811640
38194544675647776,Medicaid,164982158369714689,A&A HEALTHCARE LLC,1995-01,1,1216.98,1166.98,50.00,1216.9800000000000000,0.95891469046327795034
278663187212707114,NO_INSURANCE,50464693234281699,Lynn Community Based Outpatient Clinic (CBOC),1995-01,1,1565.94,0.00,1565.94,1565.9400000000000000,0E-20
211105773257762680,Aetna,1037822919216517364,ANNA JAQUES HOSPITAL SUBACUTE UNIT,1995-01,1,1023.62,0.00,1023.62,1023.6200000000000000,0E-20
211105773257762680,Aetna,395615810080261442,ANNA JAQUES HOSPITAL SUBACUTE UNIT,1995-01,1,948.35,0.00,948.35,948.3500000000000000,0E-20
952317639554652821,Medicare,363458983347729064,Fitchburg Outpatient Clinic,1995-01,1,1444.46,1155.57,288.89,1444.4600000000000000,0.80000138460047353336
278663187212707114,NO_INSURANCE,687244083159868427,MELROSEWAKEFIELD HEALTHCARE  INC,1995-07,1,1509.58,0.00,1509.58,1509.5800000000000000,0E-20
38194544675647776,Medicaid,556944320275034302,PARADIGM HEALTHCARE  PC,1995-08,1,840.20,790.20,50.00,840.2000000000000000,0.94049035943822899310
445788698227523135,Dual Eligible,164982158369714689,A&A HEALTHCARE LLC,1995-11,1,15835.89,15800.89,35.00,15835.8900000000000000,0.99778983056841137442
445788698227523135,Dual Eligible,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1995-11,1,516.95,481.95,35.00,516.9500000000000000,0.93229519295870006770
445788698227523135,Dual Eligible,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1995-12,1,516.95,481.95,35.00,516.9500000000000000,0.93229519295870006770
278663187212707114,NO_INSURANCE,790885867393293671,DUTTON FAMILY CARE ASSOCIATES LLP,1995-12,1,778.78,0.00,778.78,778.7800000000000000,0E-20
445788698227523135,Dual Eligible,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1996-01,2,3622.30,3552.30,70.00,1811.1500000000000000,0.98067526157413797863
445788698227523135,Dual Eligible,164982158369714689,A&A HEALTHCARE LLC,1996-01,1,1997.47,1962.47,35.00,1997.4700000000000000,0.98247783446059264970
278663187212707114,NO_INSURANCE,50464693234281699,Lynn Community Based Outpatient Clinic (CBOC),1996-01,1,808.91,0.00,808.91,808.9100000000000000,0E-20
1038854080955376456,Cigna Health,814284400183858824,PRIMARY CARE NORTH PC,1996-01,1,1050.78,0.00,1050.78,1050.7800000000000000,0E-20
278663187212707114,NO_INSURANCE,537663206495302230,MELROSE FAMILY OPTICIANS LLC,1996-02,1,933.06,0.00,933.06,933.0600000000000000,0E-20
38194544675647776,Medicaid,264175530648959689,SIGNATURE HEALTHCARE MEDICAL GROUP INC,1996-02,1,1048.62,998.62,50.00,1048.6200000000000000,0.95231828498407430718
278663187212707114,NO_INSURANCE,363458983347729064,Fitchburg Outpatient Clinic,1996-02,1,948.35,0.00,948.35,948.3500000000000000,0E-20
445788698227523135,Dual Eligible,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1996-02,2,751.66,681.66,70.00,375.8300000000000000,0.90687278822872043211
952317639554652821,Medicare,623047219859228790,GARDEN STATE HEALTHCARE ASSOCIATES LLC,1996-03,1,1422.98,951.97,471.01,1422.9800000000000000,0.66899745604295211458
445788698227523135,Dual Eligible,742853919342579422,ENCOMPASS HEALTH BRAINTREE HOSPITAL OF BRAINTREE,1996-03,1,516.95,481.95,35.00,516.9500000000000000,0.93229519295870006770
445788698227523135,Dual Eligible,679818074188163933,ARBOUR-FULLER HOSPITAL,1996-04,1,988.63,953.63,35.00,988.6300000000000000,0.96459747327109231967
445788698227523135,Dual Eligible,257983333266586147,WOONSOCKET URGENT CARE PC,1996-06,1,797.72,762.72,35.00,797.7200000000000000,0.95612495612495612496
445788698227523135,Dual Eligible,965482326565273582,TIMOTHY DANIELS HOUSE,1996-08,1,146.18,111.18,35.00,146.1800000000000000,0.76056916130797646737
445788698227523135,Dual Eligible,257983333266586147,WOONSOCKET URGENT CARE PC,1996-08,1,1409.29,1374.29,35.00,1409.2900000000000000,0.97516479929609945434
